,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
69,parsed-facebook_combined-24.csv,GraphBIG,PageRank,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0197311375
70,parsed-facebook_combined-24.csv,GraphMat,PageRank,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.018057125
71,parsed-facebook_combined-24.csv,PowerGraph,PageRank,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.075
72,parsed-facebook_combined-24.csv,GAP,SSSP,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.008451875
73,parsed-facebook_combined-24.csv,GraphBIG,SSSP,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00411672280909091
74,parsed-facebook_combined-24.csv,GraphMat,SSSP,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0007215625
75,parsed-facebook_combined-24.csv,PowerGraph,SSSP,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.08125
76,parsed-facebook_combined-32.csv,GAP,BFS,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0014925
77,parsed-facebook_combined-32.csv,GraphBIG,BFS,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00456456348484848
78,parsed-facebook_combined-32.csv,GraphMat,BFS,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0147489375
79,parsed-facebook_combined-32.csv,GAP,PageRank,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.008896875
