dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
parsed-web-BerkStan-2.csv,PowerGraph,SSSP,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.475
parsed-web-BerkStan-4.csv,GAP,SSSP,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.04679875
parsed-web-BerkStan-4.csv,GraphBIG,SSSP,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000523284
parsed-web-BerkStan-4.csv,GraphMat,SSSP,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.079641563
parsed-web-BerkStan-4.csv,PowerGraph,SSSP,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.4875
parsed-web-BerkStan-8.csv,GAP,SSSP,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.062801875
parsed-web-BerkStan-8.csv,GraphBIG,SSSP,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000543058
parsed-web-BerkStan-8.csv,GraphMat,SSSP,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.061261375
parsed-web-BerkStan-8.csv,PowerGraph,SSSP,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.38125
parsed-web-BerkStan-16.csv,GAP,SSSP,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.1016075
parsed-web-BerkStan-16.csv,GraphBIG,SSSP,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000549734
parsed-web-BerkStan-16.csv,GraphMat,SSSP,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.048142563
parsed-web-BerkStan-16.csv,PowerGraph,SSSP,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.4375
parsed-web-BerkStan-24.csv,GAP,SSSP,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.140941875
parsed-web-BerkStan-24.csv,GraphBIG,SSSP,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000566989
parsed-web-BerkStan-24.csv,GraphMat,SSSP,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.044514313
parsed-web-BerkStan-24.csv,PowerGraph,SSSP,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.50625
parsed-web-BerkStan-32.csv,GAP,SSSP,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.552584375
parsed-web-BerkStan-32.csv,GraphBIG,SSSP,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000775516
parsed-web-BerkStan-32.csv,GraphMat,SSSP,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.056836625
parsed-web-BerkStan-32.csv,PowerGraph,SSSP,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.55
parsed-web-BerkStan-40.csv,GAP,SSSP,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.717016875
parsed-web-BerkStan-40.csv,GraphBIG,SSSP,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.00090678
parsed-web-BerkStan-40.csv,GraphMat,SSSP,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.071440563
parsed-web-BerkStan-40.csv,PowerGraph,SSSP,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.65
parsed-web-BerkStan-48.csv,GAP,SSSP,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.8743575
parsed-web-BerkStan-48.csv,GraphBIG,SSSP,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000974163
parsed-web-BerkStan-48.csv,GraphMat,SSSP,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.1295865
parsed-web-BerkStan-48.csv,PowerGraph,SSSP,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.7375
parsed-web-BerkStan-56.csv,GAP,SSSP,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,1.08677875
parsed-web-BerkStan-56.csv,GraphBIG,SSSP,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.00091356
parsed-web-BerkStan-56.csv,GraphMat,SSSP,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.104793188
parsed-web-BerkStan-56.csv,PowerGraph,SSSP,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.83125
parsed-actor-collaboration-1.csv,GAP,SSSP,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.154046875
parsed-actor-collaboration-1.csv,GraphBIG,SSSP,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,6.11E-07
parsed-actor-collaboration-1.csv,GraphMat,SSSP,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.11066875
parsed-actor-collaboration-1.csv,PowerGraph,SSSP,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,1.34375
parsed-actor-collaboration-2.csv,GAP,SSSP,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.13420625
parsed-actor-collaboration-2.csv,GraphBIG,SSSP,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002002866
parsed-actor-collaboration-2.csv,GraphMat,SSSP,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.06771125
parsed-actor-collaboration-2.csv,PowerGraph,SSSP,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,1.35625
parsed-actor-collaboration-4.csv,GAP,SSSP,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.0754475
parsed-actor-collaboration-4.csv,GraphBIG,SSSP,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002026812
parsed-actor-collaboration-4.csv,GraphMat,SSSP,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.042979
parsed-actor-collaboration-4.csv,PowerGraph,SSSP,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,1.35625
parsed-actor-collaboration-8.csv,GAP,SSSP,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.043785
parsed-actor-collaboration-8.csv,GraphBIG,SSSP,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002117007
parsed-actor-collaboration-8.csv,GraphMat,SSSP,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.044188938
parsed-actor-collaboration-8.csv,PowerGraph,SSSP,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.54374975
parsed-actor-collaboration-16.csv,GAP,SSSP,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.032769375
parsed-actor-collaboration-16.csv,GraphBIG,SSSP,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002243475
parsed-actor-collaboration-16.csv,GraphMat,SSSP,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.019564938
parsed-actor-collaboration-16.csv,PowerGraph,SSSP,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.287500063
parsed-actor-collaboration-24.csv,GAP,SSSP,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.030556875
parsed-actor-collaboration-24.csv,GraphBIG,SSSP,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002295733
parsed-actor-collaboration-24.csv,GraphMat,SSSP,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.0165055
parsed-actor-collaboration-24.csv,PowerGraph,SSSP,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.1999999
parsed-actor-collaboration-32.csv,GAP,SSSP,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.075404375
parsed-actor-collaboration-32.csv,GraphBIG,SSSP,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002659648
parsed-actor-collaboration-32.csv,GraphMat,SSSP,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.024409
parsed-actor-collaboration-32.csv,PowerGraph,SSSP,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.2
parsed-actor-collaboration-40.csv,GAP,SSSP,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.091219375
parsed-actor-collaboration-40.csv,GraphBIG,SSSP,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002514541
