package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GraphMat,BFS,2239,6452,2,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000256
GAP,BFS,2239,6452,4,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000205
GraphBIG,BFS,2239,6452,4,nan,NA,NA,NA,NA,NA,NA,NA,NA,1.31E-05
GraphMat,BFS,2239,6452,4,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000249438
GAP,BFS,2239,6452,8,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000250625
GraphBIG,BFS,2239,6452,8,nan,NA,NA,NA,NA,NA,NA,NA,NA,1.93E-05
GraphMat,BFS,2239,6452,8,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000336188
GAP,BFS,2239,6452,16,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.0004975
GraphBIG,BFS,2239,6452,16,nan,NA,NA,NA,NA,NA,NA,NA,NA,2.91E-05
GraphMat,BFS,2239,6452,16,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000410938
GAP,BFS,2239,6452,24,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.0006075
GraphBIG,BFS,2239,6452,24,nan,NA,NA,NA,NA,NA,NA,NA,NA,4.30E-05
GraphMat,BFS,2239,6452,24,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000609938
GAP,BFS,2239,6452,32,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.001565
GraphBIG,BFS,2239,6452,32,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000252664
GraphMat,BFS,2239,6452,32,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000576938
GAP,BFS,2239,6452,40,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.0018825
GraphBIG,BFS,2239,6452,40,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000281408
GraphMat,BFS,2239,6452,40,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.003782625
GAP,BFS,2239,6452,48,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.002198125
GraphBIG,BFS,2239,6452,48,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000382378
GraphMat,BFS,2239,6452,48,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.004987125
GAP,BFS,2239,6452,56,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.00255375
GraphBIG,BFS,2239,6452,56,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000398845
GraphMat,BFS,2239,6452,56,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.005215
Galois,BFS,1379917,1921660,1,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.0760625
GAP,BFS,1379917,1921660,1,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.077005
GraphBIG,BFS,1379917,1921660,1,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,1.27E-06
GraphMat,BFS,1379917,1921660,1,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.530522813
Galois,BFS,1379917,1921660,2,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.0698125
GAP,BFS,1379917,1921660,2,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.072854375
