package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GraphBIG,SSSP,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000543058
GraphMat,SSSP,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.061261375
PowerGraph,SSSP,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.38125
GAP,SSSP,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.1016075
GraphBIG,SSSP,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000549734
GraphMat,SSSP,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.048142563
PowerGraph,SSSP,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.4375
GAP,SSSP,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.140941875
GraphBIG,SSSP,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000566989
GraphMat,SSSP,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.044514313
PowerGraph,SSSP,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.50625
GAP,SSSP,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.552584375
GraphBIG,SSSP,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000775516
GraphMat,SSSP,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.056836625
PowerGraph,SSSP,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.55
GAP,SSSP,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.717016875
GraphBIG,SSSP,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.00090678
GraphMat,SSSP,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.071440563
PowerGraph,SSSP,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.65
