Unnamed: 0,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
301,parsed-web-BerkStan-32.csv,GraphMat,PageRank,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.515274313
302,parsed-web-BerkStan-32.csv,PowerGraph,PageRank,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,14.25625
310,parsed-web-BerkStan-40.csv,GAP,PageRank,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.076079375
311,parsed-web-BerkStan-40.csv,GraphBIG,PageRank,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,2.39942875
312,parsed-web-BerkStan-40.csv,GraphMat,PageRank,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.678301063
313,parsed-web-BerkStan-40.csv,PowerGraph,PageRank,685230,7600595,40,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,17.8125
321,parsed-web-BerkStan-48.csv,GAP,PageRank,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.0767525
322,parsed-web-BerkStan-48.csv,GraphBIG,PageRank,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,2.29845
323,parsed-web-BerkStan-48.csv,GraphMat,PageRank,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.783903125
324,parsed-web-BerkStan-48.csv,PowerGraph,PageRank,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,21.04375
332,parsed-web-BerkStan-56.csv,GAP,PageRank,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.07920375
333,parsed-web-BerkStan-56.csv,GraphBIG,PageRank,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,2.3380775
