algorithm,execution_phase,scale,edges_per_vertex,RMAT_type,insertion_percent,changed_vertices,threads,measurement,value
CC,All,24,8,G,75,1000000,32,Time (s),3.202046
CC,All,24,8,G,75,1000000,32,Time (s),2.429953
CC,All,24,8,G,75,1000000,32,Time (s),2.633465
CC,All,24,8,G,75,1000000,32,Time (s),3.352107
CC,All,24,8,G,75,1000000,32,Time (s),3.313843
CC,All,24,8,G,75,1000000,32,Time (s),2.566077
CC,All,24,8,G,75,1000000,32,Time (s),3.376752
CC,All,24,8,G,75,1000000,32,Time (s),2.553137
Galois,All,24,8,ER,75,1000000,48,Time (s),0.623
Galois,All,24,8,ER,75,1000000,48,Time (s),0.6
Galois,All,24,8,ER,75,1000000,48,Time (s),0.568
Galois,All,24,8,ER,75,1000000,48,Time (s),0.619
Galois,All,24,8,ER,75,1000000,48,Time (s),0.573
Galois,All,24,8,ER,75,1000000,48,Time (s),0.558
Galois,All,24,8,ER,75,1000000,48,Time (s),0.564
Galois,All,24,8,ER,75,1000000,48,Time (s),0.619
Galois,All,24,8,G,75,1000000,48,Time (s),0.925
Galois,All,24,8,G,75,1000000,48,Time (s),1.064
Galois,All,24,8,G,75,1000000,48,Time (s),0.966
Galois,All,24,8,G,75,1000000,48,Time (s),0.937
Galois,All,24,8,G,75,1000000,48,Time (s),1.021
Galois,All,24,8,G,75,1000000,48,Time (s),0.973
Galois,All,24,8,G,75,1000000,48,Time (s),0.933
Galois,All,24,8,G,75,1000000,48,Time (s),1.026
CC,insertion,24,8,G,75,1000000,48,Time (s),0.281704
CC,insertion,24,8,G,75,1000000,48,Time (s),0.253275
CC,insertion,24,8,G,75,1000000,48,Time (s),0.254092
CC,insertion,24,8,G,75,1000000,48,Time (s),0.255067
CC,insertion,24,8,G,75,1000000,48,Time (s),0.258929
CC,insertion,24,8,G,75,1000000,48,Time (s),0.258793
CC,insertion,24,8,G,75,1000000,48,Time (s),0.265820
CC,insertion,24,8,G,75,1000000,48,Time (s),0.252598
CC,deletion,24,8,G,75,1000000,48,Time (s),1.488228
CC,deletion,24,8,G,75,1000000,48,Time (s),1.301619
CC,deletion,24,8,G,75,1000000,48,Time (s),1.479310
CC,deletion,24,8,G,75,1000000,48,Time (s),1.328321
CC,deletion,24,8,G,75,1000000,48,Time (s),1.224643
CC,deletion,24,8,G,75,1000000,48,Time (s),1.377180
CC,deletion,24,8,G,75,1000000,48,Time (s),1.452477
CC,deletion,24,8,G,75,1000000,48,Time (s),1.455514
CC,All,24,8,G,75,1000000,48,Time (s),3.355236
CC,All,24,8,G,75,1000000,48,Time (s),3.137136
CC,All,24,8,G,75,1000000,48,Time (s),3.047458
CC,All,24,8,G,75,1000000,48,Time (s),3.055455
CC,All,24,8,G,75,1000000,48,Time (s),2.919310
CC,All,24,8,G,75,1000000,48,Time (s),3.027840
CC,All,24,8,G,75,1000000,48,Time (s),3.216488
CC,All,24,8,G,75,1000000,48,Time (s),3.175750
Galois,All,24,8,ER,75,1000000,64,Time (s),0.537
Galois,All,24,8,ER,75,1000000,64,Time (s),0.542
Galois,All,24,8,ER,75,1000000,64,Time (s),0.514
Galois,All,24,8,ER,75,1000000,64,Time (s),0.52
Galois,All,24,8,ER,75,1000000,64,Time (s),0.532
Galois,All,24,8,ER,75,1000000,64,Time (s),0.513
Galois,All,24,8,ER,75,1000000,64,Time (s),0.501
Galois,All,24,8,ER,75,1000000,64,Time (s),0.53
Galois,All,24,8,G,75,1000000,64,Time (s),0.822
Galois,All,24,8,G,75,1000000,64,Time (s),0.844
Galois,All,24,8,G,75,1000000,64,Time (s),0.948
Galois,All,24,8,G,75,1000000,64,Time (s),0.874
Galois,All,24,8,G,75,1000000,64,Time (s),0.851
Galois,All,24,8,G,75,1000000,64,Time (s),0.892
Galois,All,24,8,G,75,1000000,64,Time (s),0.857
Galois,All,24,8,G,75,1000000,64,Time (s),0.884
CC,insertion,24,8,G,75,1000000,64,Time (s),0.215706
CC,insertion,24,8,G,75,1000000,64,Time (s),0.246997
CC,insertion,24,8,G,75,1000000,64,Time (s),0.227008
CC,insertion,24,8,G,75,1000000,64,Time (s),0.226161
CC,insertion,24,8,G,75,1000000,64,Time (s),0.247545
CC,insertion,24,8,G,75,1000000,64,Time (s),0.233696
CC,insertion,24,8,G,75,1000000,64,Time (s),0.227525
CC,insertion,24,8,G,75,1000000,64,Time (s),0.234550
CC,deletion,24,8,G,75,1000000,64,Time (s),1.131598
CC,deletion,24,8,G,75,1000000,64,Time (s),1.185338
CC,deletion,24,8,G,75,1000000,64,Time (s),1.123380
CC,deletion,24,8,G,75,1000000,64,Time (s),1.120699
CC,deletion,24,8,G,75,1000000,64,Time (s),1.150161
CC,deletion,24,8,G,75,1000000,64,Time (s),1.167386
CC,deletion,24,8,G,75,1000000,64,Time (s),1.132666
CC,deletion,24,8,G,75,1000000,64,Time (s),1.193112
CC,All,24,8,G,75,1000000,64,Time (s),2.771630
CC,All,24,8,G,75,1000000,64,Time (s),2.978583
CC,All,24,8,G,75,1000000,64,Time (s),2.862980
CC,All,24,8,G,75,1000000,64,Time (s),2.839144
CC,All,24,8,G,75,1000000,64,Time (s),2.809855
CC,All,24,8,G,75,1000000,64,Time (s),2.947934
CC,All,24,8,G,75,1000000,64,Time (s),2.863445
CC,All,24,8,G,75,1000000,64,Time (s),2.963309
Galois,All,24,8,ER,75,1000000,72,Time (s),0.53
Galois,All,24,8,ER,75,1000000,72,Time (s),0.552
Galois,All,24,8,ER,75,1000000,72,Time (s),0.522
Galois,All,24,8,ER,75,1000000,72,Time (s),0.538
Galois,All,24,8,ER,75,1000000,72,Time (s),0.519
Galois,All,24,8,ER,75,1000000,72,Time (s),0.514
Galois,All,24,8,ER,75,1000000,72,Time (s),0.52
Galois,All,24,8,ER,75,1000000,72,Time (s),0.519
Galois,All,24,8,G,75,1000000,72,Time (s),0.851
Galois,All,24,8,G,75,1000000,72,Time (s),0.842
Galois,All,24,8,G,75,1000000,72,Time (s),0.787
Galois,All,24,8,G,75,1000000,72,Time (s),0.804
Galois,All,24,8,G,75,1000000,72,Time (s),0.813
Galois,All,24,8,G,75,1000000,72,Time (s),0.81
Galois,All,24,8,G,75,1000000,72,Time (s),0.845
Galois,All,24,8,G,75,1000000,72,Time (s),0.793
CC,insertion,24,8,G,75,1000000,72,Time (s),0.217002
CC,insertion,24,8,G,75,1000000,72,Time (s),0.224552
CC,insertion,24,8,G,75,1000000,72,Time (s),0.242207
CC,insertion,24,8,G,75,1000000,72,Time (s),0.221215
CC,insertion,24,8,G,75,1000000,72,Time (s),0.232814
CC,insertion,24,8,G,75,1000000,72,Time (s),0.240948
CC,insertion,24,8,G,75,1000000,72,Time (s),0.216960
CC,insertion,24,8,G,75,1000000,72,Time (s),0.223792
